COUNTY,LAT,LON,MALES,FEMALES,B1,B2,B3,B4,B5,B6,B7,B8,G1,G2,G3,G4,G5,G6,G7,G8,B9,B10,B11,B12,G9,G10,G11,G12
Baringo,0.6692519803,35.9464653527,279081,276480,10356,9431,9313,10201,9383,9551,9865,7484,9281,8555,8681,9551,9188,9424,9815,7265,5216,4923,4311,3846,4893,4622,3860,3404
Bomet,-0.7262945834,35.2985975867,359727,364459,16480,15837,15648,15747,14507,14450,15725,10872,15313,14553,14780,14865,14557,14657,16342,10983,8004,7588,6681,5633,7628,7003,5460,4254
Bungoma,0.7492852396,34.6404608756,671548,703515,33985,33855,34695,34749,33876,34084,33430,19176,34329,34135,34414,35206,34410,34546,34879,19593,15895,15559,14082,11126,14954,13315,11707,8348
Busia,0.3874436775,34.1936314884,356122,387824,18613,17737,17574,17235,16427,15802,14241,9169,18428,17653,17200,17729,17150,16481,14680,8889,6641,6096,5277,4689,5923,5201,4196,3309
Elgeyo Marakwet,0.8022188109,35.5365631474,183738,186260,8071,7664,7519,7856,7599,8041,8064,5662,7496,7255,7233,7698,7583,8228,8700,5950,4142,3833,3360,2965,4641,4324,3434,3051
Embu,-0.6039743776,37.6265013265,254303,261909,7815,7950,8110,8352,8084,7833,7659,6002,7148,7119,7487,7874,8042,8518,8687,6561,6210,5822,5161,4045,5889,5356,4517,3917
Garissa,-0.4889103448,40.1992785378,334939,288121,15781,14085,11887,8679,7439,7106,5759,5025,11744,9917,7837,5133,4389,4030,3199,2493,2927,2544,2732,2068,1364,1105,1201,815
Homa Bay,-0.5428093942,34.3589968687,462454,501340,22084,22183,21831,22171,21712,21112,19325,13538,21892,21700,21946,21706,20957,20481,18030,11827,12090,11865,10456,8436,9684,8920,7332,5670
Isiolo,1.0104430775,38.5421531206,73694,69600,2989,2635,2506,2298,2165,2060,2048,1514,2878,2482,2430,2398,2234,2038,1846,1442,755,703,641,568,503,491,463,350
Kajiado,-2.1213835779,36.908842193,345146,342166,10851,10762,10925,11492,10327,9572,8807,7540,10588,10285,10635,10916,9972,9908,8408,7076,3725,3505,3046,2642,3545,3234,2720,2292
Kakamega,0.403683464,34.744511153,800989,859662,39007,38554,38719,37948,35862,34387,30843,20126,38572,38121,37398,38537,37039,36779,33130,22085,16736,15941,14240,12158,17514,16089,13223,10831
Kericho,-0.295732906,35.3140700086,381980,376359,16138,15688,15383,15612,14718,14662,15008,11618,14966,14785,14579,15059,14724,14445,15521,12004,342378,326389,294263,250236,331041,307256,263671,216463
Kiambu,-1.068706066,36.8235642579,802609,820673,19582,19802,20452,21709,21372,21223,20901,19498,18751,19282,19882,20866,20867,21049,21457,20077,8309,7679,6655,6034,7883,7091,5873,4897
Kilifi,-3.1757320132,39.6866875507,535526,574209,21029,20031,20257,21199,20019,19547,19044,15715,19667,19788,19681,20701,20400,19766,18678,14485,15417,15157,14504,12837,15931,15347,14590,12583
Kirinyaga,-0.5247462962,37.3198681093,260630,267424,7057,7013,7177,7722,7717,7814,7651,6117,6448,6628,6792,7680,7876,8101,8044,6514,7663,6772,6149,5539,6526,5578,4746,4037
Kisii,-0.7746037572,34.7747229835,550464,601818,22266,21425,21623,21983,20617,20218,19723,13362,21503,20925,20643,21650,21124,20289,20232,13499,5175,5288,4579,3949,6080,6150,5150,4937
Kisumu,-0.1694586948,34.835203466,474760,494149,18220,17512,17614,17464,16470,16349,16476,11278,17860,17638,17256,17817,17063,16708,16526,11499,15509,15564,15874,12016,14769,14295,13633,8813
Kitui,-1.4910385308,38.4069210158,481282,531427,24323,23013,23230,23981,22465,21000,20236,16851,23200,21412,21133,22531,21945,21592,21330,17780,9343,9259,8431,7175,9878,8953,7506,6281
